Sample	Run	BioProject	LibraryStrategy	LibraryLayout	Model	Coverage	Breed
SRS428704	SRR866420	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	6.15 	Hereford
SRS428705	SRR866421	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	8.43 	Hereford
SRS428708	SRR866425	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	6.68 	Red Angus
SRS428709	SRR866423	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	8.15 	Red Angus
SRS428710	SRR866426	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	6.93 	Hereford
SRS628362	SRR1343160	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.35 	Hereford
SRS628363	SRR1343162	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.97 	Gelbvieh
SRS628364	SRR1343161	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.27 	Gelbvieh
SRS628366	SRR1343164	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	18.33 	Gelbvieh
SRS628367	SRR1343165	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	28.21 	Gelbvieh
SRS628368	SRR1343166	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	11.75 	Gelbvieh
SRS628369	SRR1343167	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	20.33 	Charolais
SRS628370	SRR1343168	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.02 	Charolais
SRS628371	SRR1343169	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	12.72 	Charolais
SRS628372	SRR1343171	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.00 	Charolais
SRS628373	SRR1343170	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.90 	Red Angus
SRS628374	SRR1343172	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.81 	Red Angus
SRS628376	SRR1343173	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.56 	Charolais
SRS629090	SRR1346378	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.83 	Devon
SRS629092	SRR1346380	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.27 	Hereford
SRS629093	SRR1346381	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	12.68 	Hereford
SRS629094	SRR1346382	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.18 	Hereford
SRS629095	SRR1346383	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	12.70 	Hereford
SRS629096	SRR1346384	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.79 	Hereford
SRS629097	SRR1346385	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.51 	Hereford
SRS629099	SRR1346387	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.85 	Hereford
SRS629100	SRR1346388	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.46 	Gelbvieh
SRS629321	SRR1348571	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	18.39 	Charolais
SRS629324	SRR1348574	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	12.12 	Charolais
SRS629325	SRR1348575	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.77 	Gelbvieh
SRS629326	SRR1348576	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.82 	Gelbvieh
SRS629327	SRR1348577	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.29 	Charolais
SRS629328	SRR1348578	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.59 	Charolais
SRS629334	SRR1348584	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	12.68 	Charolais
SRS629338	SRR1348588	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.03 	Red Angus
SRS629339	SRR1348589	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.52 	Hereford
SRS629340	SRR1348590	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.44 	Hereford
SRS629341	SRR1348591	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	12.35 	Red Angus
SRS629669	SRR1355236	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	17.08 	Gelbvieh
SRS629671	SRR1355238	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.47 	Maine Anjou
SRS629672	SRR1355239	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.67 	Red Angus
SRS629673	SRR1355240	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.90 	Gelbvieh
SRS629674	SRR1355241	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	17.02 	Gelbvieh
SRS629675	SRR1355242	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.57 	Gelbvieh
SRS629676	SRR1355243	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.27 	Gelbvieh
SRS629678	SRR1355245	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.22 	Maine Anjou
SRS629679	SRR1355246	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.75 	Gelbvieh
SRS629680	SRR1355247	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.24 	Gelbvieh
SRS629681	SRR1355248	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.01 	Gelbvieh
SRS629682	SRR1355249	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.90 	Gelbvieh
SRS629683	SRR1355250	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.43 	Gelbvieh
SRS629684	SRR1355251	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.02 	Gelbvieh
SRS629686	SRR1355253	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	14.66 	Charolais
SRS629687	SRR1355254	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.05 	Charolais
SRS629691	SRR1355258	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	20.11 	Charolais
SRS629692	SRR1355259	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	20.26 	Maine Anjou
SRS629693	SRR1355260	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	20.76 	Gelbvieh
SRS629694	SRR1355261	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	19.49 	Hereford
SRS631187	SRR1365102	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.90 	Red Angus
SRS631188	SRR1365103	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	18.04 	Red Angus
SRS631190	SRR1365105	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	13.22 	Hereford
SRS631191	SRR1365106	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.72 	Hereford
SRS631192	SRR1365107	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.34 	Hereford
SRS631193	SRR1365108	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	18.15 	Maine Anjou
SRS631194	SRR1365109	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.09 	Hereford
SRS631195	SRR1365110	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	15.26 	Hereford
SRS631196	SRR1365113	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	17.97 	Red Angus
SRS631197	SRR1365112	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	17.50 	Gelbvieh
SRS631198	SRR1365111	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	16.59 	Hereford
SRS631207	SRR1365122	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	17.43 	Charolais
SRS631208	SRR1365124	PRJNA176557	WGS	PAIRED	Illumina HiSeq 2000	17.48 	Hereford
