Sample	Run	BioProject	LibraryStrategy	LibraryLayout	Model	Coverage	Breed
ERS2213004	ERR2309151	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	4.55 	Korea_native
ERS2213005	ERR2309152	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	5.61 	Korea_native
ERS2213006	ERR2309153	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	8.36 	Korea_native
ERS2213003	ERR2309150	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	10.32 	Korea_native
ERS2212996	ERR2309143	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	10.77 	Korea_native
ERS2212994	ERR2309141	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.09 	Korea_native
ERS2212961	ERR2309108	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.26 	British_Alpine(Australia)
ERS2212997	ERR2309144	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.46 	Korea_native
ERS2213000	ERR2309147	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.48 	Korea_native
ERS2212999	ERR2309146	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.54 	Korea_native
ERS2212998	ERR2309145	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.56 	Korea_native
ERS2212962	ERR2309109	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.89 	British_Alpine(Australia)
ERS2213001	ERR2309148	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.95 	Korea_native
ERS2212964	ERR2309111	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.97 	British_Alpine(Australia)
ERS2212992	ERR2309139	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	11.99 	Korea_native
ERS2212993	ERR2309140	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.02 	Korea_native
ERS2212969	ERR2309116	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.15 	Anglo_Nubian(Australia)
ERS2212989	ERR2309136	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.58 	Korea_Boer
ERS2212985	ERR2309132	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.62 	Korea_Saanen
ERS2212991	ERR2309138	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.68 	Korea_native
ERS2212987	ERR2309134	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.72 	Korea_Boer
ERS2212990	ERR2309137	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.73 	Korea_Boer
ERS2212966	ERR2309113	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.75 	Anglo_Nubian(Australia)
ERS2212981	ERR2309128	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.80 	Korea_Saanen
ERS2212995	ERR2309142	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.83 	Korea_native
ERS2213002	ERR2309149	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	12.84 	Korea_native
ERS2212988	ERR2309135	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.07 	Korea_Boer
ERS2212984	ERR2309131	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.12 	Korea_Saanen
ERS2212965	ERR2309112	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.15 	British_Alpine(Australia)
ERS2212983	ERR2309130	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.20 	Korea_Saanen
ERS2212979	ERR2309126	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.25 	Korea_Saanen
ERS2212986	ERR2309133	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.85 	Korea_Saanen
ERS2212978	ERR2309125	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	13.92 	Korea_Saanen
ERS2212980	ERR2309127	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	14.51 	Korea_Saanen
ERS2212977	ERR2309124	PRJEB25062	WGS	PAIRED	Illumina HiSeq 2000	14.69 	Korea_Saanen
ERS3357728	ERR3281400	PRJEB31857	WGS	PAIRED	HiSeq X Ten	-	Androy_breed
ERS3357906	ERR3281569	PRJEB31857	WGS	PAIRED	HiSeq X Ten	-	Sonjo_breed
ERS3357910	ERR3281573	PRJEB31857	WGS	PAIRED	HiSeq X Ten	-	Sonjo_breed
ERS3357855	ERR3281527	PRJEB31857	WGS	PAIRED	HiSeq X Ten	18.93 	Boer_breed
ERS3357747	ERR3281419	PRJEB31857	WGS	PAIRED	HiSeq X Ten	19.32 	Menabe_breed
ERS3357724	ERR3281396	PRJEB31857	WGS	PAIRED	HiSeq X Ten	20.06 	Toggenburg_breed
ERS3357804	ERR3281476	PRJEB31857	WGS	PAIRED	HiSeq X Ten	20.12 	Balaka-Ulongwe_breed
ERS3357911	ERR3281574	PRJEB31857	WGS	PAIRED	HiSeq X Ten	20.99 	Toggenburg_breed
ERS3357893	ERR3284991	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.14 	Pare_White_breed
ERS3357685	ERR3281357	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.28 	Abergelle_breed
ERS3357896	ERR3281561	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.43 	Saanen_breed
ERS3357935	ERR3281589	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.59 	Mashona_(Msh-1)_breed
ERS3357878	ERR3284987	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.62 	Malya_breed
ERS3357903	ERR3281566	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.78 	Sonjo_breed
ERS3357729	ERR3281401	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.95 	Androy_breed
ERS3357709	ERR3281381	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.96 	Galla_breed
ERS3357719	ERR3281391	PRJEB31857	WGS	PAIRED	HiSeq X Ten	21.97 	Small_East_African_breed
ERS3357695	ERR3281367	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.03 	Keffa_breed
ERS3357723	ERR3281395	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.06 	Small_East_African_breed
ERS3357742	ERR3281414	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.13 	Diana_breed
ERS3357705	ERR3281377	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.22 	Woyito_Guji_breed
ERS3357788	ERR3281460	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.36 	Peulh_breed
ERS3357734	ERR3281406	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.37 	Angora_breed
ERS3357939	ERR3285414	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.37 	Matebele_breed
ERS3357786	ERR3281458	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.44 	Naine_breed
ERS3357687	ERR3281359	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.51 	Abergelle_breed
ERS3357681	ERR3281353	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.64 	Abergelle_breed
ERS3357761	ERR3281433	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.74 	Sud-Ouest_breed
ERS3357800	ERR3281472	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.78 	Targui_breed
ERS3357879	ERR3281548	PRJEB31857	WGS	PAIRED	HiSeq X Ten	22.86 	Malya_breed
ERS3357922	ERR3284996	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.02 	Boer_breed
ERS3357745	ERR3281417	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.35 	Menabe_breed
ERS3357699	ERR3281371	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.41 	Keffa_breed
ERS3357886	ERR3281554	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.45 	Norwegian_breed
ERS3357934	ERR3281588	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.55 	Mashona_(Msh-1)_breed
ERS3357737	ERR3281409	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.58 	Diana_breed
ERS3357873	ERR3281545	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.63 	Malya_breed
ERS3357716	ERR3281388	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.69 	Galla_breed
ERS3357694	ERR3281366	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.79 	Keffa_breed
ERS3357711	ERR3281383	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.79 	Galla_breed
ERS3357696	ERR3281368	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.81 	Keffa_breed
ERS3357908	ERR3281571	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.82 	Sonjo_breed
ERS3357708	ERR3281380	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.93 	Woyito_Guji_breed
ERS3357885	ERR3281553	PRJEB31857	WGS	PAIRED	HiSeq X Ten	23.93 	Norwegian_breed
ERS3357702	ERR3281374	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.02 	Woyito_Guji_breed
ERS3357802	ERR3281474	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.04 	Targui_breed
ERS3357720	ERR3281392	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.15 	Small_East_African_breed
ERS3357743	ERR3281415	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.17 	Diana_breed
ERS3357764	ERR3281436	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.17 	Sud-Ouest_breed
ERS3357771	ERR3281443	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.20 	Guera_breed
ERS3357763	ERR3281435	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.26 	Sud-Ouest_breed
ERS3357731	ERR3281403	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.37 	Angora_breed
ERS3357839	ERR3281511	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.38 	Small_East_African_breed
ERS3357765	ERR3281437	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.43 	Sud-Ouest_breed
ERS3357688	ERR3281360	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.48 	Abergelle_breed
ERS3357915	ERR3284995	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.52 	Toggenburg_breed
ERS3357916	ERR3281577	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.57 	Toggenburg_breed
ERS3357891	ERR3284990	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.58 	Pare_White_breed
ERS3357700	ERR3281372	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.61 	Keffa_breed
ERS3357717	ERR3281389	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.67 	Small_East_African_breed
ERS3357901	ERR3284993	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.67 	Saanen_breed
ERS3357768	ERR3281440	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.73 	Guera_breed
ERS3357770	ERR3281442	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.80 	Guera_breed
ERS3357759	ERR3281431	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.81 	Sofia_breed
ERS3357880	ERR3281549	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.84 	Norwegian_breed
ERS3357895	ERR3281560	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.87 	Saanen_breed
ERS3357924	ERR3284998	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.87 	Boer_breed
ERS3357722	ERR3281394	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.88 	Small_East_African_breed
ERS3357897	ERR3281562	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.90 	Saanen_breed
ERS3357945	ERR3285003	PRJEB31857	WGS	PAIRED	HiSeq X Ten	24.99 	Matebele_breed
ERS3357941	ERR3281592	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.05 	Matebele_breed
ERS3357943	ERR3281593	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.10 	Matebele_breed
ERS3357721	ERR3281393	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.13 	Small_East_African_breed
ERS3357753	ERR3281425	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.15 	Sofia_breed
ERS3357946	ERR3285416	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.23 	Matebele_breed
ERS3357740	ERR3281412	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.34 	Diana_breed
ERS3357762	ERR3281434	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.36 	Sud-Ouest_breed
ERS3357799	ERR3281471	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.68 	Soudanaise_breed
ERS3357736	ERR3281408	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.69 	Diana_breed
ERS3357875	ERR3281547	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.73 	Malya_breed
ERS3357773	ERR3281445	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.78 	Guera_breed
ERS3357898	ERR3281563	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.82 	Saanen_breed
ERS3357767	ERR3281439	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.86 	Sud-Ouest_breed
ERS3357769	ERR3281441	PRJEB31857	WGS	PAIRED	HiSeq X Ten	25.88 	Guera_breed
ERS3357904	ERR3281567	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.02 	Sonjo_breed
ERS3357757	ERR3281429	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.03 	Sofia_breed
ERS3357715	ERR3281387	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.08 	Galla_breed
ERS3357913	ERR3284994	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.11 	Toggenburg_breed
ERS3357881	ERR3281550	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.20 	Norwegian_breed
ERS3357749	ERR3281421	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.21 	Menabe_breed
ERS3357900	ERR3281564	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.21 	Saanen_breed
ERS3357914	ERR3281576	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.43 	Toggenburg_breed
ERS3357691	ERR3281363	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.52 	Gumez_breed
ERS3357894	ERR3281559	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.59 	Pare_White_breed
ERS3357936	ERR3281590	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.71 	Mashona_(Msh-1)_breed
ERS3357683	ERR3281355	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.72 	Abergelle_breed
ERS3357712	ERR3281384	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.74 	Galla_breed
ERS3357870	ERR3281542	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.81 	Maasai_breed
ERS3357927	ERR3281584	PRJEB31857	WGS	PAIRED	HiSeq X Ten	26.96 	Mashona_(Msh-1)_breed
ERS3357714	ERR3281386	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.02 	Galla_breed
ERS3357877	ERR3284986	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.02 	Malya_breed
ERS3357883	ERR3281552	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.08 	Norwegian_breed
ERS3357907	ERR3281570	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.11 	Sonjo_breed
ERS3357905	ERR3281568	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.12 	Sonjo_breed
ERS3357899	ERR3284992	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.13 	Saanen_breed
ERS3357833	ERR3281505	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.23 	Landin_breed
ERS3357698	ERR3281370	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.24 	Keffa_breed
ERS3357686	ERR3281358	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.26 	Abergelle_breed
ERS3357735	ERR3281407	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.27 	Angora_breed
ERS3357778	ERR3281450	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.47 	Maure_breed
ERS3357871	ERR3281543	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.58 	Maasai_breed
ERS3357917	ERR3281578	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.65 	Toggenburg_breed
ERS3357925	ERR3284999	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.68 	Boer_breed
ERS3357776	ERR3281448	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.71 	Maure_breed
ERS3357918	ERR3281579	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.76 	Toggenburg_breed
ERS3357942	ERR3285001	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.77 	Matebele_breed
ERS3357718	ERR3281390	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.79 	Small_East_African_breed
ERS3357938	ERR3285413	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.80 	Mashona_(Msh-1)_breed
ERS3357707	ERR3281379	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.85 	Woyito_Guji_breed
ERS3357923	ERR3284997	PRJEB31857	WGS	PAIRED	HiSeq X Ten	27.88 	Boer_breed
