Sample	Run	BioProject	LibraryStrategy	LibraryLayout	Model	coverage	Breed
SRS12233379	SRR18286775	PRJNA814428	WGS	PAIRED	HiSeq X Ten	14.97 	Argali
SRS12233380	SRR18286774	PRJNA814428	WGS	PAIRED	HiSeq X Ten	12.70 	Argali
SRS12233416	SRR18286738	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.09 	Duolang sheep
SRS12233417	SRR18286737	PRJNA814428	WGS	PAIRED	HiSeq X Ten	10.26 	Duolang sheep
SRS12233418	SRR18286736	PRJNA814428	WGS	PAIRED	HiSeq X Ten	10.43 	Duolang sheep
SRS12233419	SRR18286735	PRJNA814428	WGS	PAIRED	HiSeq X Ten	10.47 	Duolang sheep
SRS12233420	SRR18286734	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.19 	Duolang sheep
SRS12233421	SRR18286733	PRJNA814428	WGS	PAIRED	HiSeq X Ten	12.09 	Duolang sheep
SRS12233422	SRR18286732	PRJNA814428	WGS	PAIRED	HiSeq X Ten	13.59 	Duolang sheep
SRS12233423	SRR18286731	PRJNA814428	WGS	PAIRED	HiSeq X Ten	12.96 	Duolang sheep
SRS12233424	SRR18286730	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.33 	Duolang sheep
SRS12233426	SRR18286728	PRJNA814428	WGS	PAIRED	HiSeq X Ten	32.94 	Duolang sheep
SRS12233429	SRR18286725	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.56 	Hetian sheep
SRS12233430	SRR18286724	PRJNA814428	WGS	PAIRED	HiSeq X Ten	13.27 	Hetian sheep
SRS12233431	SRR18286723	PRJNA814428	WGS	PAIRED	HiSeq X Ten	9.58 	Hetian sheep
SRS12233432	SRR18286722	PRJNA814428	WGS	PAIRED	HiSeq X Ten	9.92 	Hetian sheep
SRS12233433	SRR18286721	PRJNA814428	WGS	PAIRED	HiSeq X Ten	9.75 	Hetian sheep
SRS12233434	SRR18286720	PRJNA814428	WGS	PAIRED	HiSeq X Ten	9.62 	Hetian sheep
SRS12233435	SRR18286719	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.12 	Hetian sheep
SRS12233461	SRR18286693	PRJNA814428	WGS	PAIRED	HiSeq X Ten	13.32 	Argali
SRS12233469	SRR18286685	PRJNA814428	WGS	PAIRED	HiSeq X Ten	9.89 	Altay sheep
SRS12233470	SRR18286684	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.59 	Altay sheep
SRS12233471	SRR18286683	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.55 	Altay sheep
SRS12233472	SRR18286682	PRJNA814428	WGS	PAIRED	HiSeq X Ten	17.70 	Argali
SRS12233473	SRR18286681	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.25 	Altay sheep
SRS12233474	SRR18286680	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.70 	Altay sheep
SRS12233475	SRR18286679	PRJNA814428	WGS	PAIRED	HiSeq X Ten	12.24 	Altay sheep
SRS12233476	SRR18286678	PRJNA814428	WGS	PAIRED	HiSeq X Ten	12.09 	Altay sheep
SRS12233477	SRR18286677	PRJNA814428	WGS	PAIRED	HiSeq X Ten	29.23 	Altay sheep
SRS12233478	SRR18286676	PRJNA814428	WGS	PAIRED	HiSeq X Ten	9.57 	Altay sheep
SRS12233479	SRR18286675	PRJNA814428	WGS	PAIRED	HiSeq X Ten	39.09 	Altay sheep
SRS12233480	SRR18286674	PRJNA814428	WGS	PAIRED	HiSeq X Ten	38.17 	Altay sheep
SRS12233483	SRR18286671	PRJNA814428	WGS	PAIRED	HiSeq X Ten	17.64 	Argali
SRS12233493	SRR18286661	PRJNA814428	WGS	PAIRED	HiSeq X Ten	10.04 	Bashibai Sheep
SRS12233494	SRR18286660	PRJNA814428	WGS	PAIRED	HiSeq X Ten	15.20 	Argali
SRS12233495	SRR18286659	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.44 	Bashibai Sheep
SRS12233496	SRR18286658	PRJNA814428	WGS	PAIRED	HiSeq X Ten	10.65 	Bashibai Sheep
SRS12233497	SRR18286657	PRJNA814428	WGS	PAIRED	HiSeq X Ten	11.06 	Bashibai Sheep
SRS12233498	SRR18286656	PRJNA814428	WGS	PAIRED	HiSeq X Ten	10.80 	Bashibai Sheep
